序号,题目,作者,来源,发表时间,发表类别,被引,下载
30,人工智能在医药领域的应用,陆涛,药学进展,2020-01-25,期刊,4,1021
31,94.9%受访青少年相信祖国将在自己这代实现“高水平科技自立自强”,孙山;金文,中国青年报,2022-06-02,报纸,,96
32,加快数字化转型，打造优势产业集群,周伟;李青健,青岛日报,2021-10-29,报纸,,232
33,释放强劲新动能!上海三大先导产业强势开局,唐玮婕;张懿;祝越,文汇报,2022-01-07,报纸,1,67
34,中国创新药供给的数据管理问题研究,左健东,上海财经大学,2020-05-01,硕士,,213
35,推进人工智能创新 让诊疗更加“智慧”——生物医药与精准医疗大健康发展分论坛,杨云帆,中国科技产业,2020-02-15,期刊,1,914
36,上海浦东将打造集成电路生物医药人工智能三大产业集群,缪晓琴,中国经济导报,2021-09-01,报纸,,261
37,AI技术在医药物流行业的应用研究,贾聪聪;王子溪;黄传强,信息与电脑(理论版),2020-11-10,期刊,,423
38,生物医药+人工智能的“杭州可能”,盛慧;陈思思;顾婷婷,杭州(周刊),2019-09-22,期刊,,462
39,IPv6云平台助力生物医药人工智能教学竞赛,白启峰,中国教育网络,2022-01-05,特色期刊,,33
40,大数据和人工智能助推药物设计,郑明月;蒋华良,2019中国化学会第十五届全国计算（机）化学学术会议论文集,2019-11-14,中国会议,,619
41,高精尖项目组团落地中关村科学城,孙奇茹,北京日报,2022-03-22,报纸,,29
42,人工智能的未来潜力取决于共识,本刊讯,数据分析与知识发现,2019-12-25,期刊,,144
43,发展基于人工智能的智能医药监管系统——访中国工程院院士李兰娟,王圣媛,中国战略新兴产业,2017-07-01,期刊,,354
44,生物医药产业“十三五”人工智能发展战略与政策初探,李青,中国科技产业,2017-01-15,期刊,2,575
45,第三届北京国际医学工程大会暨国际医药人工智能大会在京开幕,许方霄,首都食品与医药,2018-11-01,期刊,,143
46,论人工智能技术下工业机器人在提高医药企业生产效率中的应用,李宁;宁显斌;卢子广,2017年博鳌医药论坛论文集,2017-06-28,中国会议,1,356
47,广州IAB产业瞄准四大目标,昌道励;朱伟良,南方日报,2017-08-03,报纸,,87
48,三部医药法律草案继续审议,,中国卫生,2019-03-05,期刊,,28
49,第三届北京国际医学工程暨国际医药人工智能大会在北京举行,,科学中国人,2018-11-15,特色期刊,,10
50,地方政策,,中国信息界,2017-12-25,期刊,,21
53,中医腰痛经典梳理及基于知识元的腰痛人工智能处方平台建设,于子涵,上海中医药大学,2021-05-12,博士,,90
54,FBC医药科技公司数智化管理发展战略研究,皮勇波,广东财经大学,2022-05-09,硕士,,380
55,专家热议医药工业高质量发展,郭鑫,人民邮电,2023-11-30,报纸,,51
56,推介活动,,投资北京,2018-01-05,期刊,,8
58,重大新发传染病医学应对产品研发关键技术选择研究——以COVID-19为例,葛华,军事科学院,2023-05-31,博士,,638
59,医药卫生领域数字孪生相关文献计量与知识图谱分析,崔钰;孙彦顺;于莉莉,中国医疗设备,2023-10-10,期刊,,203
60,公共政策执行视野下人工智能治理挑战的伦理应对及其对策研究,仝海菊,北京化工大学,2023-05-26,硕士,,437
61,新竞争格局下中美生物医药创新对比研究,王楠;王国强,中国软科学,2023-01-28,期刊,2,1376
62,面向医药生产的智能机器人及其关键技术研究综述,王可;张辉;曹意宏;易俊飞;袁小芳,计算机集成制造系统,2022-07-15,期刊,5,793
63,中国医药需大力推进原始创新,张佳星,科技日报,2023-12-01,报纸,,109
64,基于人工智能的中医健康管理体系的构建及运行机制研究,刘丽静,福建中医药大学,2022-06-01,硕士,2,1050
65,大国竞争下的美国涉华337调查与中国应对之策,朱雪忠;徐晨倩,科学学研究,2020-09-22 17:21,期刊,19,2903
66,我国医药制造企业数字化转型发展探析,周倩,中国信息化,2021-10-20,期刊,16,1783
67,基于领域本体的蒙医药学知识库构建与知识发现研究,鲍玉来,吉林大学,2018-06-01,博士,64,2870
68,长线增量资金加码进场 密集抢筹四大赛道,刘伟杰,中国证券报,2023-12-26,报纸,,4
69,数智化改变医药传统架构 引领技术发展和产业升级,傅苏颖,中国证券报,2023-09-29,报纸,,55
70,供应链视角下医药零售连锁企业物流服务能力研究,缪华昌;罗佳乐;万晶晶;蒋海芹,中国储运,2021-11-01,期刊,4,979
71,医药大模型：复刻生理功能 评估药物反应,金凤,科技日报,2023-10-09,报纸,,78
72,人工智能在医疗健康领域的应用与发展前景分析,徐维维;彭沪;杨佳芳;侯冷晨;李济宇,中国医疗管理科学,2019-09-15,期刊,20,2701
73,上海科技创新中心的核心功能及其突破口,孙福全,科学发展,2020-07-20,期刊,9,817
74,广州市人民政府办公厅关于印发广州市战略性新兴产业发展“十四五”规划的通知,,广州市人民政府公报,2022-04-30,特色期刊,2,97
75,人工智能，为科研注入智慧动能,喻思南,人民日报,2022-10-20,报纸,,336
76,上海生物医药产业该如何破解创新堵点？,姜晓凌;耿挺;陶婷婷,上海科技报,2023-01-18,报纸,,139
77,5月基金调研热情升温 人工智能主题最受关注,郭洁,证券时报,2023-05-22,报纸,,21
78,生物医药产业要素结构升级与动态随机一般均衡分析,刘述强,哈尔滨理工大学,2020-10-01,博士,2,950
79,广州市人民政府办公厅关于印发广州市工业和信息化发展“十四五”规划的通知,,广州市人民政府公报,2022-06-20,特色期刊,,97
80,上海掌舵:生物医药“大船”驶入深海,崔鹏志,IT时报,2022-10-21,报纸,,94
81,人机共生刷新商业逻辑,慕欣,医药经济报,2023-05-01,报纸,,26
82,医药卫生领域人工神经网络研究中文文献可视化分析,沈波;谢兆勋;林少辉;许旭艳;罗秀凤,海峡预防医学杂志,2021-10-15,期刊,2,283
83,智联世界 标准为线,,质量与标准化,2023-08-25,期刊,,9
84,关于长三角重点产业领域联合开展关键技术攻关的思考,孙斌;商丽媛,青海科技,2021-12-25,期刊,2,195
85,AI制药兴起，“弯道超车”有望,俞陶然,解放日报,2022-01-12,报纸,1,408
86,东北地区医药产业集聚发展对策研究,王培,哈尔滨商业大学,2020-11-16,硕士,1,391
87,人工智能在药酒和保健酒行业的应用,曲晓莉,酒·饮料技术装备,2021-07-15,期刊,3,282
88,基于计算智能的药品预测模型及其在医药智能物流平台中的应用研究,刘震,重庆大学,2017-10-01,博士,8,745
89,基于新冠病毒疫情影响的医药应急物流研究,方嘉奇;李文斌;姜哲利,中国物流与采购,2020-07-02,期刊,6,1621
90,新形势下促进上海市卫生健康数字化转型发展的政策研究,卢虹;吴文烈;赵阳;耿文叶;张佳慧,网信军民融合,2021-11-30,期刊,,259
91,AI赋能千行百业 共筑智能新生态 2022“直通乌镇”全球互联网大赛的人工智能专题赛复赛在深圳举行,,信息化建设,2022-11-15,期刊,,24
92,解析人工智能在医疗健康领域的应用与发展前景,任耀星,信息通信,2019-12-15,期刊,5,684
93,人工智能背景下上海市制造业服务化的高质量发展研究,郑苏江,上海工程技术大学,2021-01-01,硕士,,185
94,重点战略新兴行业人力资源缺口分析——以某地区为例,朱振强,首都经济贸易大学,2021-06-30,硕士,,102
95,集群企业知识共享网络、失败学习与创新绩效,林保镭,浙江工商大学,2018-01-01,硕士,3,472
96,面向医药领域的智能问答系统设计与实现,秦杰,湖南大学,2018-05-15,硕士,2,567
97,智能药物研发范式的数据法律因应——可及性的视角,李家杭,华中科技大学,2020-05-29,硕士,,206
98,以人工智能为导向的信管专业人才培养方案,赵鸿萍;刘新昱;杨帆;陈曙;李辉,药学教育,2020-02-25,期刊,1,391
99,促进与制约——新兴技术发展对健康权保障的影响,杨睿宇,医学与法学,2021-04-28,期刊,,134
100,三大产业：筑起“抗疫”防线,费晓蕾,华东科技,2020-03-05,期刊,,381
101,关于高新区以人工智能赋能“四强”产业推动新经济发展情况的调研报告,市人大常委会、高新区联合调研组,淄博日报,2021-01-09,报纸,,413
102,上海市人民政府办公厅关于印发《上海市战略性新兴产业和先导产业发展“十四五”规划》的通知,,上海市人民政府公报,2021-08-05,特色期刊,,21
103,中国工程院圈点医学工程探索前沿,陈相龙,中国医院院长,2020-03-15,期刊,1,111
104,浦东高质量发展定下“硬核”目标,胥会云,第一财经日报,2021-08-27,报纸,,43
105,展现“硬实力” 跑出“加速度”,袁于飞;彭丽,光明日报,2021-09-17,报纸,,27
106,硬核科技板块 从科技基金与细分领域中寻找投资机会,吕长顺,财富时代,2019-12-25,期刊,1,100
107,智能技术在医药健康领域的应用与发展趋势,田伟,科技导报,2020-04-13,期刊,,267
108,人工智能技术的普及,郝冠毅,电子技术与软件工程,2018-08-24 14:16,期刊,2,299
109,河南省人民政府办公厅关于印发河南省新型显示和智能终端产业发展行动方案等8个方案的通知,,河南省人民政府公报,2019-02-25,特色期刊,1,35
110,人工智能离“药神”还有多远,谢雨礼,张江科技评论,2019-04-28,期刊,,455
111,许昌市人民政府关于印发许昌市智能电力装备产业发展行动方案等9个方案的通知,,许昌市人民政府公报,2019-01-08,特色期刊,1,35
112,化学信息学软件工具、Web服务及数据库的开发和应用,曹东升;董界;王柠柠,2019中国化学会第十五届全国计算（机）化学学术会议论文集,2019-11-14,中国会议,,228
113,区域经济与产业发展,,天津中德应用技术大学学报,2018-12-14,期刊,,206
114,2018医疗健康投资机遇看哪里?,李慧,科技与金融,2018-05-09,期刊,1,110
115,中共北京市委 北京市人民政府关于印发加快科技创新构建高精尖经济结构系列文件的通知,,北京市人民政府公报,2018-01-25,特色期刊,2,38
116,北京市科学技术委员会 北京市发展和改革委员会 北京市经济和信息化局 北京市财政局 北京市卫生健康委员会 北京市医疗保障局 北京市药品监督管理局 中关村科技园区管理委员会印发《关于加强新型冠状病毒肺炎科技攻关促进医药健康创新发展的若干措施》的通知,,北京市人民政府公报,2020-02-18,特色期刊,,14
117,聚焦上海科创中心建设 关注生物医药创制进行时,,上海医药,2019-06-10,期刊,,121
118,化危为机 加快发展前沿产业,,群众,2020-03-20,期刊,,66
119,计算机技术发展下中医药信息人才培养的研究和探索,胡蓉蓉,第五届中国中医药信息大会——大数据标准化与智慧中医药论文集,2018-07-27,中国会议,,52
120,让智慧成就健康,杨晓慧,中国医院院长,2018-07-15,期刊,,38
121,国外典型国家和地区科技创新政策比较研究,江洪波,中国科学院上海营养与健康研究所;,2019-06-01,科技成果,,41
122,数据,,金融科技时代,2019-07-10,期刊,,25
123,一句话新闻,,卫星与网络,2019-09-25,期刊,,13
124,虹润人工智能温控器喜获三项国家发明专利,,化工自动化及仪表,2018-04-10,期刊,1,66
125,化学信息学软件工具、Web服务及数据库的开发和应用,曹东升;董界;王柠柠,中国化学会第十三届全国分析化学年会论文集（二）,2018-06-14,中国会议,,63
126,博彦科技:与微软是长期合作伙伴关系,,股市动态分析,2018-09-22,期刊,,37
127,2017杭州市新生代企业家论坛举行,吴炜,杭州(周刊),2017-12-15,期刊,1,34
128,聚焦热点 跨界互通——2017年《上海医药》杂志年会成功举办,肇晖,上海医药,2017-10-10,期刊,,9
131,多模态超声联合人工智能在甲状腺结节良恶性鉴别诊断中应用价值,李阳,湖北医药学院,2023-05-01,硕士,,54
132,中医药信息学热点、前沿分析以及学科体系框架优化研究,高曼,中国中医科学院,2023-05-31,硕士,,321
133,药物研发模式转型下药品专利创造性判断困境及其破解,常美利,华中科技大学,2022-05-01,硕士,,157
135,XX医药公司数字化转型发展战略研究,杨彬,昆明理工大学,2023-03-01,硕士,,369
137,A公司研发员工招聘问题研究,张泽琳,华东师范大学,2022-11-25,硕士,1,3330
140,生物医药研发数字基础设施体系建设研究,张建楠;王晓杰;沙雏淋;李莹莹;李校堃,中国工程科学,2023-11-02 15:25,期刊,,343
141,九州通集团财务智能化发展研究,张征,广州大学,2023-05-30,硕士,,956
142,JZT医药公司财务数字化转型问题研究,陈畅,辽宁大学,2023-05-01,硕士,,715
143,计算医学构建药物创新的底座技术,张春明;赵宇;谭光明,科学与社会,2023-09-25,期刊,,145
145,人工智能发展对产业全要素生产率的影响——一个基于中国制造业的经验研究,孙早;侯玉琳,经济学家,2021-01-05,期刊,116,6496
147,区块链技术下A制药公司销售与收款业务内部控制优化研究,赵奥伟,安徽财经大学,2022-12-01,硕士,1,1302
148,AI制药产业发展瓶颈和对策,郭旭;王钤,中国科技产业,2023-07-15,期刊,,482
149,浅析人工智能/机器学习用于药品开发——基于FDA讨论文件的探讨,姚立新,中国食品药品监管,2023-07-15,期刊,1,179
150,XH制药股份有限公司发展战略研究,王一诺,山东大学,2023-05-20,硕士,,161
151,生物医药产业发展的创新加速趋势,殷丹妮,张江科技评论,2022-12-28,期刊,3,600
153,金融助力产业发展：创新、智能与融合,,现代金融导刊,2023-11-25,期刊,,21
154,人工智能在新药研发中的应用现状与挑战,刘晓凡;孙翔宇;朱迅,药学进展,2021-07-25,期刊,17,2183
155,上海谷森医药公司气雾剂产品竞争战略研究,袁金帅,兰州大学,2023-04-01,硕士,,137
156,互联网供应链金融科技平台“盛业资本”运作模式的探究,徐璜楠,广州大学,2022-06-01,硕士,2,747
157,数字化技术赋能生物医药行业实现新发展,马战凯,通信企业管理,2023-01-10,期刊,2,626
159,生物医药科技创新前沿、我国发展态势和新阶段的若干思考,陈凯先,中国食品药品监管,2021-08-15,期刊,12,1350
160,可解释、可通用的下一代人工智能方法重大研究计划2023年度项目指南,,模式识别与人工智能,2023-03-15,期刊,,275
161,走过深度变革之年 中国股权投资行业共谋“适变”之道,柴刘斌;王玉晴,上海证券报,2023-12-14,报纸,,31
162,基于BP和BS组合模型的上市生物医药企业价值评估研究,李娜,江西财经大学,2021-06-01,硕士,9,759
163,基于中医状态辨识的《伤寒论》诊疗思维与逻辑及智能诊疗模型研究,赵文,福建中医药大学,2021-06-01,博士,9,1034
164,国内外生物医药和大健康产业发展趋势及对天津的启示,杨童;李燕;罗琼;臧学英,城市,2022-06-25,期刊,3,882
165,“互联网+”背景下广印堂中药公司营销策略研究,赵来福,南京邮电大学,2020-12-16,硕士,11,2184
166,痰瘀互结证诊断量表研制及其量化诊断模型的研究与评价,陈智慧,辽宁中医药大学,2022-06-01,博士,2,650
168,生物医药产业知识产权保护与科技创新研究,冯红;赵婧祎;张爱华;许爱青;次照辉,石家庄学院学报,2022-09-20,期刊,1,1129
169,中国服务外包发展重点领域及展望,,服务外包,2023-06-05,期刊,,96
170,新媒体环境下高新区品牌形象传播研究,张品慧,华东师范大学,2022-05-20,硕士,1,468
171,工信部：培育远程医疗等新模式新业态,傅苏颖,中国证券报,2023-10-25,报纸,,92
172,“互联网+人工智能”在医疗领域中应用及发展趋势,王冰丽;蔡娜,山东理工大学学报(社会科学版),2021-05-07,期刊,11,3298
173,探索基于深度学习的人工智能系统(内镜精灵)在消化专业研究生胃镜学习中的应用,叶颖剑;李秀梅;李琼霞;安鹏;刘波,现代消化及介入诊疗,2023-02-18,期刊,1,147
174,美国生物医药研发投入及创新趋势分析,朱庆平,中国基础科学,2021-10-15,期刊,6,743
175,人工智能在药物再定位的应用,陈杨;陈轶伦;曾文杰;廖俊,中国医药导刊,2022-04-15,期刊,2,373
176,人工智能驱动我国商业健康险服务创新研究——以“意管家”为例,姚斐,辽宁大学,2022-04-01,硕士,1,291
177,我国生物医药行业上市公司投资价值分析,李一帆,云南财经大学,2020-05-20,硕士,8,3927
178,技术网络中新兴技术的突破机会的APL识别方法,姜照华;宋华东;王静;侯梦珠;谢德雨,科学学与科学技术管理,2020-12-10,期刊,6,703
179,智慧医疗带动传统医疗卫生服务升级的机理探讨：基于价值链嵌入与政企协同视角,傅利平;王玉辉,中国卫生经济,2020-01-05,期刊,22,998
180,广州市人民政府办公厅关于印发广州市科技创新“十四五”规划的通知,,广州市人民政府公报,2022-03-10,特色期刊,3,108
181,北京市人民政府关于印发《北京市“十四五”时期高精尖产业发展规划》的通知,,北京市人民政府公报,2021-09-18,特色期刊,7,102
182,中国城乡居民大病保险制度改革与发展策略研究,花亚州,武汉大学,2018-05-01,博士,17,1436
183,成都国际会展之都,,中国会展,2023-05-15,期刊,,112
184,聚焦产业链强化上海高端产业引领功能,叶东晖,科学发展,2021-04-20,期刊,4,429
185,玩转“黑科技”，在科博会“链接”未来世界,,现代商业银行,2023-06-15,期刊,,24
186,“十三五”国家战略性新兴产业发展规划(全文),,中国战略新兴产业,2017-01-01,期刊,105,4972
187,基于专利引文的人工智能领域科学-技术关联分析,郜梦蕊,南京大学,2019-05-30,硕士,8,1199
188,《中国胸心血管外科临床杂志》2023年第5期封面赏析,胡坚,中国胸心血管外科临床杂志,2023-05-10,期刊,,89
189,我国中高端制造业供应链话语权提升策略研究,李芳,曲阜师范大学,2022-03-10,硕士,,148
190,产业智能化背景下员工技能培训研究,张双志,天津大学,2021-05-01,博士,,1260
191,人工智能背景下的移动医疗平台现状及展望,杨瑶瑶,未来与发展,2020-02-15,期刊,8,843
192,我国研究型大学聚合科技发展的支持政策与投入产出研究——基于14所高校的数据,鲁虹,浙江师范大学,2021-12-20,硕士,,185
193,P公司新药研发数字化转型实践,陈茜,华中科技大学,2021-11-01,硕士,,227
194,基于人工智能背景下高职教师专业发展的策略研究,闫丽平,天津职业技术师范大学,2018-12-01,硕士,7,1723
195,“以科技创新引领经济发展”专题(2) “十四五”时期广东重点发展高科技产业的选择建议,陈彦玲,广东经济,2020-01-20,期刊,6,1117
196,白云山中一药业人力资源战略研究,李世建,兰州大学,2020-03-01,硕士,4,499
197,基于知识管理的数据服务企业商业模式分析——以杭州F科技有限公司为例,姚丽霞;龚铨,科技管理研究,2020-05-20,期刊,4,700
198,上海生物医药产业金融环境研究,魏喜武;杨耀武,科技和产业,2021-07-25,期刊,3,491
199,中国医药产业互联网白皮书 2020年,,艾瑞咨询系列研究报告（2020年第12期）,2020-12-01,中国会议,2,617
200,基于多模型融合的疾病预测的医药电商智慧营销研究,刘逸爽,华南理工大学,2019-04-14,硕士,7,476
201,集团管控策略：服务与管控的平衡术,张倩,人力资源,2022-04-08,期刊,2,193
202,数字化，医药行业未来发展驱动力,宋慧欣,自动化博览,2021-11-15,期刊,3,1067
203,产业风暴,,华东科技,2023-07-05,期刊,,6
204,湖北省人民政府关于印发湖北省科技创新“十四五”规划的通知,,湖北省人民政府公报,2021-11-01,特色期刊,3,74
205,上海建设世界科创策源地的量化评估研究,赵付春,全球城市研究(中英文),2021-09-30,期刊,2,172
206,科技创新驱动经济稳步复苏,陈曦;寇淑然,科技日报,2023-06-29,报纸,,24
207,“超算”为医学研究注入灵魂,胡彬,健康报,2022-07-20,报纸,,141
208,我国生物医药上市企业盈利能力评价研究——基于神经网络与主成分分析的方法,李祖福,华南理工大学,2015-04-17,硕士,7,995
209,成都市温江区健康产业集聚发展中的政府职能研究,贺珮,四川大学,2021-04-20,硕士,,320
210,医药卫生与信息技术深度融合的新医科信息课程探讨,赵洁;蒋世忠;罗漫;郭穗勋;周怡,医学教育研究与实践,2021-07-27,期刊,1,249
211,医药企业实施业财融合的必要性及措施研究,杨蕊竹,投资与合作,2022-08-25,期刊,2,40
212,北京市“高精尖”产业结构构建的影响因素分析,代茂兵,北方工业大学,2020-05-15,硕士,2,401
213,人口健康科技发展态势分析,王玥;许丽;苏燕;施慧琳;李祯祺,世界科技研究与发展,2021-06-15,期刊,1,168
214,基于CT测量健侧髋臼前后径对初次复杂THA术前指导意义,梁杨,湖北医药学院,2022-05-01,硕士,,52
215,全球价值链视角下的日本国际权力探析,秦炎铭,华东师范大学,2021-05-21,硕士,,198
216,北京市海淀区人民政府关于印发《北京市海淀区国民经济和社会发展第十四个五年规划和二〇三五年远景目标纲要》的通知,,北京市海淀区人民政府公报,2021-05-15,特色期刊,1,140
217,基于新媒体/自媒体的中小企业竞争情报服务模式初探——以A企业为例,张素娟;王强,竞争情报,2019-10-20,期刊,5,480
218,上海人工智能发展重点与抓手分析——对比纽约、伦敦,纪汉霖;汪晓玲,软件导刊,2021-04-15,期刊,1,255
219,除了造车，未来还能看机器人“造”药,唐玮婕,文汇报,2022-11-18,报纸,,57
220,韩国高新技术产业发展研究,金兰,延边大学,2018-05-30,硕士,4,566
221,从传统到数据驱动：医药行业的精准营销转型研究,徐畅,上海财经大学,2020-06-01,硕士,,521
222,技术创新、就业效应与经济增长,王也,首都经济贸易大学,2019-09-01,博士,2,732
223,人工神经网络在分类问题中的应用,董嘉真,科技传播,2019-01-25,期刊,14,733
224,抗疫中的人工智能应用及其对智能财务发展的启示,刘勤,中国管理会计,2020-03-15,期刊,3,468
225,上海国企精彩亮相2022世界人工智能大会,金琳,上海国资,2022-10-20,期刊,,22
226,智能诊疗机器人模式下的“知情同意”研究,袁敏,上海中医药大学,2020-06-29,硕士,1,190
227,我国智慧医疗跨学科主题知识结构及其演化分析,张国荣,南昌大学,2020-06-15,硕士,,338
228,人工智能在医疗大健康管理中的应用,曹定爱,养生大世界,2020-11-01,特色期刊,1,335
229,张江药谷孵化出AI制药新项目,俞陶然,解放日报,2022-01-08,报纸,,196
230,超600亿元!浦东32个重大产业科技项目开工,唐玮婕,文汇报,2022-08-24,报纸,,42
231,全球生物医药研发“你追我赶”,刘昌孝,中国科学报,2021-04-02,报纸,1,321
232,我国大中型医药企业信息化问题研究,滕飞,华中师范大学,2018-04-01,硕士,2,477
233,“高精尖”企业扎根AI、医药支柱产业,魏蔚,北京商报,2022-09-13,报纸,,38
234,中国工程科技医药卫生与人口健康领域2035技术预见研究,孙殿军;孙长颢;张凤民;丛斌;乔杰,中国工程科学,2017-02-15,期刊,4,573
235,苏州市重点高新技术企业现状,王玉峰;姚建民;张弘驰,中国科技信息,2020-03-15,期刊,4,239
236,三年探索 临港新片区这些指标发生了变化,胥会云,第一财经日报,2022-08-19,报纸,,25
237,基于“方证量化模型”的中医术语相似度研究方法及应用,杨巍,上海中医药大学,2020-05-26,博士,1,119
238,浅谈人工智能在药学领域的应用,满靖怡,产业创新研究,2020-09-28,期刊,,2675
239,打造世界级产业集群 上海临港新片区发展“十四五”规划发布,,上海节能,2021-08-27,期刊,,440
240,天津市人民政府办公厅关于印发天津市制造业高质量发展“十四五”规划的通知,,天津市人民政府公报,2021-07-15,特色期刊,3,13
241,夯实三大先导产业技术基础,,质量与标准化,2022-03-25,期刊,,53
242,如何推动医药企业财务管理业财融合,施志恒,中国外资,2021-01-25,期刊,3,111
243,“AI+医疗”的创新与挑战,巫景飞;方金武,上海商业,2019-05-10,期刊,3,559
244,现代信息技术对中国医疗健康产业的促进效应分析,胡红亮;张俊祥,全球科技经济瞭望,2020-04-30,期刊,1,225
245,优化“两链” 强固补紧密协同,于量,解放日报,2022-08-17,报纸,1,33
246,青岛市“高端制造业+人工智能”攻势作战方案(2019—2022年),,青岛日报,2019-08-09,报纸,1,367
247,2018医药卫生工程开发前沿,,科技中国,2019-03-15,期刊,2,237
248,《中医药信息》,,中医药信息,2021-09-28,期刊,,129
249,博鳌亚洲论坛创新报告2020 第2章 亚洲创新发展九大技术动力,,博鳌亚洲论坛创新报告2020,2020-12-01,中国会议,,64
250,完善产教融合办学体制,,成都航空职业技术学院学报,2021-12-19,期刊,,97
251,长春市人民政府关于印发长春市国民经济和社会发展第十四个五年规划和2035年远景目标纲要的通知,,长春市人民政府公报,2021-05-15,特色期刊,,28
252,上海市人民政府办公厅关于印发《上海市先进制造业发展“十四五”规划》的通知,,上海市人民政府公报,2021-08-20,特色期刊,,18
253,上海南汇“十四五”规划：大力发展氢能产业形成3个千亿级产业集群,,上海节能,2021-04-30,期刊,,206
254,关于印发《青浦区战略性新兴产业、先导产业、平台经济发展“十四五”规划》的通知,,上海市青浦区人民政府公报,2022-01-15,特色期刊,,1
255,韩国出台新产业领域人才培养方案,罗毅;董丽丽,上海教育,2021-08-10,特色期刊,,50
256,基于知识图谱的男性下尿路症状临床大数据平台研究,张义,中国人民解放军海军军医大学,2019-05-13,博士,,131
257,三大产业“疫后超车”,俞灵琦;费晓蕾;管浩,华东科技,2020-04-05,期刊,,357
258,上海：发布标准化发展行动计划,,大众标准化,2022-03-08,期刊,,52
259,浦东的下一个经济引擎——记上海张江科学城,,科学中国人,2021-01-25,特色期刊,,125
260,为建设生物医药强国鼓与呼,段青英,中国政协,2021-04-30,期刊,,88
261,打造世界级产业集群的“硬道理”,周道洪,上海国资,2021-07-20,期刊,,108
262,展望2019:寻求中国生物医药企业生存与发展的新平衡点,郑易林;邵黎明,药学进展,2019-03-25,期刊,,382
263,三年培育300家领军型成长型潜力型企业,许琦敏,文汇报,2021-12-30,报纸,,44
264,人工智能程序预测出98.5%的人类蛋白质结构,,阅读,2021-11-20,特色期刊,,54
265,"“人工智能+医疗”——技术不是AI医疗核心问题,能否商业化变现成为关键",杜阳,大数据时代,2018-06-28,期刊,,619
