序号,题目,作者,来源,发表时间,发表类别,被引,下载
25,P公司新药研发数字化转型实践,陈茜,华中科技大学,2021-11-01,硕士,,227
26,制药“弯道超车”，上海是最佳选择,俱鹤飞,解放日报,2022-11-17,报纸,,69
27,头部企业纷纷入局 AI制药加速落地,张一迪,中国电子报,2021-11-26,报纸,,230
28,人工智能技术助力药物生产,Subhro Mallik,流程工业,2020-10-15,期刊,1,808
29,智能药物研发范式的数据法律因应——可及性的视角,李家杭,华中科技大学,2020-05-29,硕士,,206
30,最佳雇主:突破、影响和目标,Chris Tachibana;倪伟波,科学新闻,2021-12-25,期刊,,53
31,资金纷涌入AI制药，受益企业却越来越少？,李加加,产城,2021-03-25,期刊,,227
32,“中国智慧制药2025”杭州宣言,,中国中药杂志,2016-12-15,期刊,,393
33,工业机器人在制药工业中的应用,赵锡平,科技创新与应用,2014-09-18,期刊,4,407
34,使用人工智能可确定药物分子结构,,家庭医药.快乐养生,2018-12-15,特色期刊,,79
35,A制药公司数字化转型中技术人员招聘管理问题研究,李玉芳,广东财经大学,2023-05-08,硕士,1,797
36,重大新发传染病医学应对产品研发关键技术选择研究——以COVID-19为例,葛华,军事科学院,2023-05-31,博士,,638
37,生物医药创新体系发展策略研究,崔蓓,军事科学院,2022-06-13,博士,8,5855
38,太赫兹技术融合人工智能在中药质量控制中的应用和展望,蒲俊伶;陶益,分析测试学报,2023-08-15,期刊,,407
39,区块链技术下A制药公司销售与收款业务内部控制优化研究,赵奥伟,安徽财经大学,2022-12-01,硕士,1,1302
40,XH制药股份有限公司发展战略研究,王一诺,山东大学,2023-05-20,硕士,,161
41,探讨生物制药的未来发展,Anke Geipel-Kern,流程工业,2023-04-20,期刊,,642
42,国内外科技巨头再加码“AI+医疗” 对制药、临床应用颠覆性影响几何？,唐唯珂;吴泽昭,21世纪经济报道,2023-07-18,报纸,,281
43,AI改变制药,谭丽平,中国企业家,2023-07-05,期刊,,138
44,生物制药的研究进展,邸胜苗,生物化工,2022-06-25,期刊,2,3114
45,制药工程中结晶分离智能技术的探究,朵芳芳;张明亮;丰贵鹏;徐绍红;陈改荣,山东化工,2023-05-08,期刊,,188
46,数字健康产业：以技术之“智”赋能医疗之“治”,毛振华;梁姊;王宁,经济参考报,2023-06-14,报纸,,206
47,药品生产技术专业数智化课程体系的构建,张雨佳;刘香;孙云雷;任玉杰,化工管理,2023-07-11,期刊,,113
48,中药智能制造的发展与展望,王莹;肖莉;陈伟;晏峻峰,中医药导报,2022-03-28,期刊,4,1338
49,高职院校“分析化学”课程教学改革及模式探索——以人工智能与学科教学深度融合为背景,罗佳;许小青;王炜祺,职业技术,2022-03-22,期刊,3,473
50,人工智能视域下拉曼光谱分析技术融合深度学习算法在中药生产过程质量控制中的应用,陶益;陈林;朱菲;潘美玲,中国现代中药,2021-04-25 15:25,期刊,6,1441
51,AI制药价值将迎规模化验证,齐欣,医药经济报,2023-05-01,报纸,,112
52,看见新蓝海 探索新未来,宋亦敏;吴桦真,福州日报,2023-07-24,报纸,,35
53,药企探路AI制药,陈婷;曹学平,中国经营报,2022-08-15,报纸,1,311
54,基于人工智能及大数据技术对中药饮片生产质量管控的研究,周明,南京中医药大学,2018-03-21,博士,18,3230
55,创业板上市公司财务报告舞弊行为识别研究——以尔康制药为例,周游,南京信息工程大学,2021-06-01,硕士,,958
56,AI制药：资本狂欢还是行业巨变？,宋婧,中国电子报,2022-04-22,报纸,1,287
57,让AI在赋能制药的同时实现“自我修炼”,肖钰周;王春,科技日报,2022-12-05,报纸,,279
58,人工智能新药研发探索数据共享模式,沈湫莎,文汇报,2022-06-05,报纸,1,192
59,《数据引论—你所需知关于人工智能、大数据和数据科学的一切》（第六章—第十二章）英译汉实践报告,付文彤,桂林理工大学,2022-03-01,硕士,,79
60,AI制药兴起，“弯道超车”有望,俞陶然,解放日报,2022-01-12,报纸,1,408
61,《作为颠覆性技术的人工智能：经济转型与社会管理》（节选）翻译项目报告,张家骄,安徽大学,2021-05-01,硕士,1,173
62,刍议我国制药设备发展存在的问题及趋势,姜辉;赵欣,职业技术,2019-04-23,期刊,11,673
63,揭秘AI制药,李秀芝,中国企业家,2021-04-05,期刊,,667
64,基于人工智能算法对车间调度问题的研究,曲媛,中国舰船研究院,2020-04-01,硕士,1,396
65,拴住AI防止“技术脱轨”,,医药经济报,2023-05-01,报纸,,16
66,张江药谷孵化出AI制药新项目,俞陶然,解放日报,2022-01-08,报纸,,196
67,"后疫情时代,AI点亮健康产业",刘旷,现代商业银行,2020-08-20,期刊,1,217
68,2020中国新科技100强评选暨秋季金i奖颁奖获奖名单,,互联网周刊,2020-10-05,期刊,1,74
69,专访斯坦福大学访问教授、清华大学深研院智慧医疗影像与健康研究中心主任邹昊 我们能为消灭天价药做些什么?,朱育漩,环境经济,2018-08-23,期刊,,640
70,“AI制药”预“健”未来,本刊综合,发明与创新(大科技),2019-02-01,特色期刊,,262
71,药学理科基地班课程体系改革与创新初探,秦斌,教育教学论坛,2019-12-04,期刊,,113
74,“智能+”首次在政府工作报告中提出,,中小学信息技术教育,2019-04-01,特色期刊,1,77
76,人工智能三入两会工作报告,,传感器世界,2019-03-25,期刊,1,56
78,赛诺菲中兴功臣曾和礼：未来属于生物制药,钱童心,第一财经日报,2017-04-05,报纸,,87
79,丁字湾公司：“科技+金融”汇聚发展新动能,寒冰;顺玲,山东国资,2019-11-25,期刊,,45
80,XX医药公司数字化转型发展战略研究,杨彬,昆明理工大学,2023-03-01,硕士,,369
81,2023年度中医药重大科学问题、工程技术难题和产业技术问题,程海波;张磊;付勇;刘红宁;肖国锦,中医杂志,2023-07-17,期刊,10,1480
82,数字中药药剂学的现状与发展趋势分析,伍振峰;杨书洁;杨怡琴;王子千;艾灵,中国中药杂志,2023-09-05 16:08,期刊,1,1195
83,中药现代化与中药创新,陈凯先;张卫东,中国食品药品监管,2022-08-15,期刊,16,4884
84,人工智能在药物靶点的筛选及验证方面的应用进展,王超;肖辅;李妙竹;潘颖;丁晓,中国药科大学学报,2023-05-24 11:38,期刊,,556
85,SWOT视角下中小型制药企业数字化转型分析及对策思考,张文博;王强芬,互联网周刊,2023-09-05,期刊,1,386
86,A制药企业数字化转型策略和实施研究,许旭,电子科技大学,2022-09-25,硕士,2,1696
87,浅析人工智能/机器学习用于药品开发——基于FDA讨论文件的探讨,姚立新,中国食品药品监管,2023-07-15,期刊,1,179
88,以投资新基建促进珠海市金湾区经济高速发展,黄旭;郑伊静,珠江论丛,2021-10-31,辑刊,,83
89,“人工智能+医药”产业现状和趋势,张静;段勃;赵宇,中国食品药品监管,2023-04-15,期刊,1,466
90,大数据背景下的ZD公司药物研发管理研究,张磊,南京邮电大学,2022-12-05,硕士,,697
91,人工智能在新药研发中的应用现状与挑战,刘晓凡;孙翔宇;朱迅,药学进展,2021-07-25,期刊,17,2183
92,全球人工智能辅助药物研发基础研究态势分析,陈娟;王婷婷;欧阳昭连,中国新药杂志,2022-07-15,期刊,4,831
93,海南数字经济产业税收优惠政策应用探索,蔡云刚;秦禧;梁丽丽,今日海南,2023-10-15,期刊,,53
94,可“AI”的药物研发：人工智能赋能药物研发的各环节,徐江城;唐静;段宏亮,科学,2022-09-25,期刊,1,1674
95,人工智能在新药发现中的应用进展,黄芳;杨红飞;朱迅,药学进展,2021-07-25,期刊,8,2824
96,人工智能技术在医药研发中的应用,刘伯炎;王群;徐俐颖;褚淑贞,中国新药杂志,2020-09-15,期刊,19,2945
97,基于知识图谱的中药制药过程质量控制方法学研究,仲怿;茹晨雷;张伯礼;程翼宇,中国中药杂志,2020-01-16 15:33,期刊,29,1752
98,人工智能助推医疗健康产业快速发展,张莫;祁航,经济参考报,2023-04-26,报纸,,608
99,标准必要专利禁令救济的反垄断问题研究,柯一嘉,上海交通大学,2020-06-30,博士,11,1355
100,AI制药站上风口 药企布局热情高涨,李梦扬,中国证券报,2023-09-27,报纸,,130
101,AI制药迎风口,陈婷;曹学平,中国经营报,2023-04-03,报纸,,163
102,CN制药公司信息化战略研究,官士敏,山东师范大学,2022-06-01,硕士,1,208
103,我国生物医药行业上市公司投资价值分析,李一帆,云南财经大学,2020-05-20,硕士,8,3927
104,智慧精益制药工程理论及其中药工业转化研究,程翼宇;张伯礼;方同华;刘雳;赵筱萍,中国中药杂志,2019-12-06 10:38,期刊,20,1465
105,AI渗入健康全产业链 但数据量存局限,唐唯珂,21世纪经济报道,2023-08-04,报纸,,97
106,药物活性成分研发：人工智能助其飞跃,Melanie Weber,流程工业,2022-11-14,期刊,,447
107,协同融合信息技术的智能制药设备在中药产业升级中应用现状与展望,杨立诚;封亮;贾晓斌,世界中医药,2020-08-14 10:46,期刊,8,851
108,机器学习在制药过程分析中的应用基础研究,阎续,浙江大学,2020-04-01,博士,6,905
109,研发周期缩短 药物上市提速,陈小慧,深圳商报,2023-07-26,报纸,,75
110,未来，我们吃的药可能会是“AI造”,陈曦,科技日报,2022-10-10,报纸,,257
111,生物医药产业要素结构升级与动态随机一般均衡分析,刘述强,哈尔滨理工大学,2020-10-01,博士,2,950
112,核心技术是科创企业的基石,张天弛,文汇报,2023-08-03,报纸,,20
113,促进我国中药产业发展的财税政策研究,江山,吉林大学,2021-06-01,硕士,,473
114,上海掌舵:生物医药“大船”驶入深海,崔鹏志,IT时报,2022-10-21,报纸,,94
115,N制药公司应收账款与销售管理问题研究,魏然,西南大学,2020-03-15,硕士,1,2245
116,外刊,,中国医院院长,2023-09-01,期刊,,4
117,人工智能辅助药物设计的基础研究,唐博文,厦门大学,2020-06-01,博士,,782
118,上海人工智能发展重点与抓手分析——对比纽约、伦敦,纪汉霖;汪晓玲,软件导刊,2021-04-15,期刊,1,255
119,《应用型人工智能：人工智能在商业中的应用》翻译实践报告,毛用玺,广东外语外贸大学,2020-03-20,硕士,1,362
120,AI药物研发赛道火热：BAT之后华为强势跨界入局,唐唯珂;文若楠,21世纪经济报道,2021-09-29,报纸,1,313
121,韩国高新技术产业发展研究,金兰,延边大学,2018-05-30,硕士,4,566
122,普通理工类本科批专业位次、最低分及平均分,,招生考试通讯(高考版),2021-08-01,特色期刊,,98
123,人工智能技术在医疗健康领域大显身手,马玲,科技中国,2019-12-15,期刊,5,558
124,国外“医疗健康+人工智能”研发动向,陈骞,上海信息化,2019-07-10,期刊,4,795
125,中国创新药供给的数据管理问题研究,左健东,上海财经大学,2020-05-01,硕士,,213
126,加快培育浙江独角兽企业的对策研究,胡文显,杭州科技,2018-04-15,期刊,8,315
127,2019年人工智能行业25大趋势(上),,电子报,2019-02-24,报纸,2,360
128,制药企业建设项目的投资估算研究,徐斌,上海交通大学,2017-01-01,硕士,1,180
129,基于产业链视角的云南X生物制药集团发展策略研究,谭雪松,云南大学,2018-09-01,硕士,,198
131,AI背景下高职制药类人才培养模式和学生管理探究,王彬;李伟威,牡丹江教育学院学报,2020-11-28,期刊,,130
132,《应用人工智能：人工智能的商业用途》翻译实践报告,波它·居马哈孜,中国石油大学(华东),2019-06-01,硕士,,79
133,2019互联网+制药企业TOP150排行榜,苏小北,互联网周刊,2019-07-20,期刊,1,151
134,人工智能在药品视觉检查中的应用,Andreas Gross,流程工业,2020-02-15,期刊,,110
136,中国互联网20年大国品牌1000强,,互联网周刊,2018-06-20,期刊,,69
137,2018最值得关注的上市科技公司(智能医疗方向),木头,互联网周刊,2018-05-05,期刊,,141
138,揭秘“新工科”专业,佚名,高中生之友,2018-12-01,特色期刊,,19
139,数说,,人力资源,2019-10-08,期刊,,9
140,人工智能成“两会”热词,,工业仪表与自动化装置,2017-04-15,期刊,,66
141,PW型固体制剂制药设备的研制,陈永兴,湖北工业大学,2018-05-01,硕士,,33
143,适用于粉末直接压片工艺的中药片剂品质调控专家系统研究,余雅婷,上海中医药大学,2021-05-16,博士,,149
146,药物研发模式转型下药品专利创造性判断困境及其破解,常美利,华中科技大学,2022-05-01,硕士,,157
147,基于模型驱动的中药制药工艺决策优化方法及应用,薛启隆,天津中医药大学,2023-06-01,硕士,,42
148,"医疗即将大变,你跟上趋势了吗",付锐,健康管理,2017-07-15,特色期刊,,4
149,热点切换 三维布局,金一平,股市动态分析,2017-03-11,期刊,,27
150,宏观政策,,信息技术与信息化,2017-03-25,期刊,,13
151,创新,,商业观察,2015-09-15,期刊,,23
152,行业公司,,股市动态分析,2016-07-23,期刊,,14
153,人工智能 布局未晚,张方方,科学中国人,2017-04-01,特色期刊,,5
154,机器学习在中药提取工序中的应用,蔡馨燕;陈忠鑫,山东师范大学学报(自然科学版),2023-12-15,期刊,,103
155,晶泰科技：AI制药之光如何照进现实？,朱艺艺,21世纪经济报道,2023-12-26,报纸,,97
156,制药公司如何应对数字化挑战,MA Alexander Stark,流程工业,2021-04-15,期刊,1,230
157,魔都创智正当时,陈冰,新民周刊,2018-07-08,特色期刊,,3
160,科普视窗,,大众科学,2015-11-01,特色期刊,,7
161,疫情之下全球“AI制药”实现加速跑,彭茜;林苗苗;黄筱,新华每日电讯,2022-09-13,报纸,,188
162,颠覆传统医疗科研:借助人工智能研发抗癌药物,,智慧健康,2016-05-20,期刊,3,690
164,机器人投料，不怕有毒有害高风险,杨晓青,中国应急管理报,2021-10-29,报纸,,57
165,做强实体经济 推动高质量发展,阮凤娟;谭海琪;李嘉雯;倪玉洁;刘公平,佛山日报,2022-10-26,报纸,1,143
167,“科改示范企业”的河北样板,马朝丽,河北日报,2022-04-19,报纸,1,52
168,工艺集成模块化装置在药品智能化生产中的应用,周立法,机电信息,2016-10-15,期刊,,155
170,基于区块链的智慧物流系统运行机制研究,茹新宇;江玉婷;张婷,江苏航运职业技术学院学报,2023-03-25,期刊,1,202
171,论医学科技与“国之重器”,詹启敏;杜建,北京大学学报(医学版),2022-09-29 11:47,期刊,2,612
