序号,题目,作者,来源,发表时间,发表类别,被引,下载
64,人工智能助力新冠肺炎疫情防控的实践情景,沙德春;荆晶,科技导报,2021-08-13,,10,1689
65,基于开放医疗大数据的人工智能研究,马婷;陈清财,医学与哲学,2022-01-05,,8,1143
66,劳力替代：人工智能时代老龄化治理的向路与策略,张劲松,江汉论坛,2021-10-12,,6,1554
67,从人工智能到元宇宙：运动防治抑郁的新方向,卢晓鹏;谭长青;周宇,医学与哲学,2022-06-20,,3,821
68,国际比较视野下机器人在医疗卫生领域的应用政策研究,毛子骏;刘子灵;周光勇,科技管理研究,2021-05-20,,8,1426
69,人工智能时代老年健康管理研究,向运华;王晓慧,新疆师范大学学报(哲学社会科学版),2019-05-08 15:43,,44,3477
70,基于人工智能的儿科分级诊疗新模式构建,孔维鹏;刘海鹏;梁立科;崔伟,中国医院管理,2022-02-05,,7,588
71,智能医疗的伦理困境与治理——基于以病人为中心的考察,邹文卿;吕禹含,医学与哲学,2022-04-05,,7,607
72,人工智能助力检验医学发展,周泉;齐素文;肖斌;李乔亮;孙朝晖,南方医科大学学报,2020-03-06 14:36,,23,3181
73,人工智能与特殊教育的深度融合设计,郭利明;杨现民;段小莲;邢蓓蓓,中国远程教育,2019-02-26 13:33,,41,4166
74,基于人工智能的医疗质量管理实践探索,李小莹;贾茜;冀冰心;孟岩;宋海庆,中国医院管理,2020-12-05,,20,970
75,中国人工智能医疗产业发展的现状及国际经验借鉴,王海旭;陈艳萍;赵凯,卫生经济研究,2020-08-27,,19,2395
76,人工智能应用于医疗服务的历史变迁,张大庆,医学与哲学,2023-01-05,,,509
77,医疗人工智能研究的风险评估及应对,吉萍;祝丹娜;肖平;许卫卫;郭锐,医学与哲学,2022-04-20,,3,518
78,人工智能视野下医疗损害责任规则的适用和嬗变,李润生;史飚,深圳大学学报(人文社会科学版),2019-11-15,,32,1811
79,人工智能在基层医疗卫生领域应用的利益相关者分析,陆春吉;郭珉江;张芳源;郑见立;李亚子,中国医学科学院学报,2021-02-28,,10,1051
80,服务型机器人在医院药品配送场景中的应用管理与成效分析,甘粒;杨晓东;张志毅;倪雨嘉;施敏华,中国卫生资源,2020-11-20,,18,898
81,“互联网+”人工智能时代医院智慧诊疗管理策略,廖生武;薛允莲;谭碧慧;李思远;陈保安,中国医院管理,2019-10-05,,41,1527
82,安徽省部分地区基层医生对人工智能技术应用的态度及需求调查,许修泽;孔西焰;沈兴蓉;柴静;刘荣,医学与社会,2022-04-10,,2,521
83,人工智能独立医用软件监管研究,张建楠;李莹莹;周佳卉;朱烨琳;李兰娟,中国工程科学,2022-02-17 16:02,,2,538
84,医疗人工智能应用的伦理设计与原则,张秋菊;蒋辉,医学与哲学,2021-02-20,,11,742
85,人工智能辅助诊疗发展现状与战略研究,孔鸣;何前锋;李兰娟,中国工程科学,2018-04-15,,89,3895
86,人机智能协同在医疗康复机器人领域的应用,郑悦;景晓蓓;李光林,仪器仪表学报,2017-10-15,,49,1556
87,我国医疗人工智能的发展困境与对策,谈在祥;韩晓平;丁甜甜,卫生经济研究,2020-05-29,,18,2451
88,基于人工智能的船舶医疗急救设备状态检测与维护,庞辉,舰船科学技术,2023-02-08,,,138
89,人工智能在医疗领域的应用和准入,蒋璐伊;王贤吉;金春林,中国卫生政策研究,2018-06-04 10:09,,47,2645
90,人工智能背景下“新医科”建设的挑战与变革,范舜;谈在祥,中国高校科技,2019-07-15,,50,2666
91,人工智能医疗器械产品消费安全权问题探讨,胡元聪;林丽星,南通大学学报(社会科学版),2020-03-15,,16,767
92,人工智能医疗给外科医生带来的挑战、机遇与思考,曹晖;顾佳毅,中国实用外科杂志,2018-01-01,,45,2119
93,人工智能在医疗健康领域的应用及挑战,金春林;何达,卫生经济研究,2018-11-05 11:04,,51,4303
94,医疗人工智能发展面临的法律与伦理挑战及对策研究,郭晓斐;赵平;高翠巧,中国肿瘤,2019-06-04 08:57,,23,1925
95,中国农村医疗服务困境及人工智能助力对策分析,陈默,中国卫生事业管理,2021-07-15,,6,1201
96,浅析人工智能技术的专利保护——以医疗领域为例,洪岩,知识产权,2018-12-25,,25,1435
97,人工智能临床应用研究进展,郑红颖;杨艳;倪佳琪;秦彦雯;富晶晶,护理研究,2019-01-31 14:20,,33,3102
98,超声人工智能诊断系统联合远程医疗的临床价值探讨,王丹;李程;孙静改;申岩;赵玉珍,中国超声医学杂志,2021-07-07,,9,592
99,人工智能的应用将改进中国基层医疗卫生服务效能,赵嘉莹;高鹏;朱勇俊;罗智健,中国全科医学,2017-12-05,,47,1330
100,医疗人工智能发展的社会-技术分析与启示,孙启贵;汪琛;王加宇;叶斌,自然辩证法研究,2021-03-17,,5,1720
101,临床决策支持系统应用中的伦理思考,周杰;宋扬,医学与哲学,2022-04-20,,2,331
102,医疗人工智能发展存在的问题及对策,董星宇;陈敏,医学与社会,2019-05-10,,31,1902
103,人工智能从数字病理切入精准医疗,于观贞;陈颖;朱明华,临床与实验病理学杂志,2021-04-22 17:12,,7,847
104,区域医疗中心人工智能辅助诊断肺结节的临床应用,邢宇彤;刘建成;孙百臣;洪苓苓;张小军,中国胸心血管外科临床杂志,2021-09-15 16:54,,3,477
105,人工智能在护理领域的应用进展,杜妍莹;董鼎辉;马锋;薛召;袁力蓉,解放军护理杂志,2019-04-15,,22,2614
106,基于人工智能技术背景下的医疗美容院设计,刘泽宇,建筑结构,2023-09-10,,,82
107,人工智能在中医骨伤科领域应用的现状与前景,刘军;韩燕鸿;潘建科;曾令烽;梁桂洪,中华中医药杂志,2019-08-01,,14,2071
108,人工智能技术在新型冠状病毒肺炎疫情防控工作中的应用及启示,蔡耀婷;宋锦平,护理研究,2020-04-10,,16,1807
109,医药健康领域的国家人工智能战略发展规划比较研究,李莹莹;张建楠;顾宴菊;朱烨琳;何前锋,中国工程科学,2019-12-15,,11,574
110,人工智能改变医学的理性权衡——基于MIT/MGH乳腺癌筛查人工智能系统的考察,张寒;王锦刚,自然辩证法研究,2021-01-18,,4,662
111,《中国胸心血管外科临床杂志》2023年第5期封面赏析,胡坚,中国胸心血管外科临床杂志,2023-05-10,,,89
112,医疗人工智能发展的伦理问题及疏解,候雄;刘玉秀;钱蕾;徐乐;史兆荣,医学研究生学报,2019-10-15,,11,1043
113,人工智能在医疗领域的应用现状及发展前景,蔡耀婷,护理研究,2019-08-10,,11,3527
114,医疗保健行业从业人员必须警惕人工智能的滥用,本刊讯,数据分析与知识发现,2022-10-25,,,295
115,适用于精准医疗预防、诊断和治疗各环节的人工智能方法尚不具备通用性,本刊讯,数据分析与知识发现,2022-09-25,,,369
116,浅谈人工智能在我国卫生健康领域的应用,杨泽华;田侃;殷婷;臧运森;陈文静,卫生经济研究,2018-11-05 11:04,,17,1657
117,人工智能在神经医学中的应用综述,李诗语;王峰;曹彬;梅琪,计算机科学,2017-11-15,,26,2960
118,人工智能赋能智慧医疗,管子玉,西北大学学报(自然科学版),2021-01-22,,10,1488
119,大数据人工智能在医疗健康领域中的应用——评《健康医疗大数据与人工智能》,朱寿华,科技管理研究,2021-01-20,,10,1704
120,综合医院大数据应用需求调查与分析,黄小龙;罗旭;汪鹏;郑靖民;郑晓菲,中国医院管理,2018-01-05,,17,752
121,医疗人工智能的伦理问题及对策研究,罗芳;陈敏,中国医院管理,2020-02-05,,7,1074
122,人工智能应用现状及关键技术研究,赵楠;缐珊珊,中国电子科学研究院学报,2017-12-20,,41,2053
123,客观看待人工智能在医学影像中的作用,萧毅;刘士远,放射学实践,2018-10-20,,25,737
124,骨质疏松人工智能技术研究进展及发展趋势,胡晓晖;李英华;钱忠心;洪洋;刘卫东,中国骨质疏松杂志,2019-02-20,,8,811
125,我国医疗行业对人工智能相关人才的需求分析——基于两网站招聘信息的调查,何达;喻惠敏;石瑛;俞双燕;金春林,中国卫生政策研究,2019-07-25,,5,623
126,人工智能辅助医疗决策并未挑战尊重自主原则,孙保学,伦理学研究,2019-11-15,,5,866
127,影像学在肿瘤精准医疗时代的机遇和挑战,许晶晶;谭延斌;张敏鸣,浙江大学学报(医学版),2017-10-25,,15,718
128,互联网联合人工智能在妇科肿瘤全程管理中的应用展望,钱智敏;姜桦,复旦学报(医学版),2019-07-25,,5,556
129,现代医学事业发展的新理念——充分利用互联网、大数据、人工智能,张逊,中国肺癌杂志,2018-03-20,,11,1111
130,2018年人工智能研发热点回眸,刘伟;倪桑,科技导报,2019-01-13,,8,424
131,后疫情时代医疗人工智能大有可为,,机床与液压,2022-01-28,,,565
132,2017年人工智能研发热点回眸,刘伟;倪桑,科技导报,2018-01-13,,9,564
133,人工智能在脊柱畸形诊疗中的应用及展望,陈锴;蔡腾广;王晨;白玉树;李明,第二军医大学学报,2020-03-20,,2,495
134,开创精神卫生智慧医疗与人工智能新时代,赵欣;张青;王继军;杨志;杜亚松,中国卫生资源,2019-12-04 11:56,,2,766
135,三论医疗人工智能的未来：“无机化”的未来,柳奕诚;宋欣阳;李宗友,中华中医药杂志,2021-02-01,,1,329
136,基于决策模型的人工智能医疗行业治理措施研究,斯颖航;汤少梁,医学与社会,2019-10-10,,2,447
137,医准智能加速医疗AI价值落地,,中国医学计算机成像杂志,2021-08-25,,,234
138,巨变端倪:人工智能在医疗影像诊断领域全面爆发,,中国医学计算机成像杂志,2017-06-25,,5,741
139,靠大数据——智能医院愈来愈重要,谢邦昌,中国统计,2017-08-15,,3,536
140,医学影像能否成为AI撬动医疗市场的入口,,中国医学计算机成像杂志,2018-08-25,,1,495
141,2019年将成为AI医学影像的落地之年,,中国医学计算机成像杂志,2019-08-25,,,319
142,英国政府投资5000万英镑用于开展人工智能医疗,,中国医学计算机成像杂志,2019-12-25,,,135
143,FDA批准上市的9款医疗人工智能产品,,中国医学计算机成像杂志,2018-08-25,,,251
144,巨变端倪:人工智能在医疗影像诊断领域全面爆发,,中国医学计算机成像杂志,2017-04-25,,,611
145,"医疗人工智能企业做到这三点,系统落地速度或将提升50%!",,中国医学计算机成像杂志,2019-02-25,,,169
146,上海交通大学医学院举办“人工智能+医学”论坛,,上海交通大学学报(医学版),2018-05-28,,,244
147,小明医声V1,,中国医学计算机成像杂志,2020-12-25,,,31
148,主持人语,管子玉,西北大学学报(自然科学版),2019-04-11,,,77
149,人工智能在感染伤口管理中的应用进展,彭雨馨;付光蕾,军事护理,2023-12-15,,1,840
150,人工智能在养老机构中的应用研究进展,庞慧;王文军;高淑红;张宪红;赵凤仪,护理研究,2023-12-05,,,1845
151,GPT-4影响的全面分析：经济高质量发展与国家安全防范,宋信强;刘明杰;陈家和,广东财经大学学报,2023-04-20 14:56,,15,2719
152,人工智能嵌入公共服务治理的风险挑战,张成福;王祥州,电子政务,2023-01-10,,19,3284
153,人工智能在临床护理领域应用中的伦理困境及对策,苏秦;王艳波,医学与哲学,2023-12-20,,,452
154,智慧医院建设促进公立医院高质量发展的思考,许昌;孙逸凡;董四平;曹晓均;刘颜,中国医院管理,2023-01-05,,31,2158
155,数智赋能人类健康管理——中国科学技术情报学会健康信息学专业委员会2023年年会分论坛纪要,彭雪莹;张康辉;汪璠,图书情报知识,2023-11-10 14:23,,,671
156,爱思唯尔学术出版集团分析与决策工具类业务发展模式研究,张晓菲,出版发行研究,2023-12-15,,1,159
157,智能医学的现状与未来,刘哲;石钰;林延带;杨焱惜,科学通报,2023-04-10,,5,1926
158,信息化赋能公立医院高质量发展,许树强;张铁山,中国医院,2023-07-01,,7,550
159,老年数字化健康管理研究进展,葛振兴;李晓光;王慧,生命科学,2023-08-15,,4,1598
160,人工智能+养老服务：发展模式与实现路径,崔开昌;刘纯燕,中国老年学杂志,2022-04-25,,40,6204
161,人工智能技术辅助肺癌早筛的社会影响评价指标体系构建,罗文涛;刘雨杨;杨鑫;王格格;陈昶,医学与社会,2023-11-10,,,270
162,人工智能在透明病理学中的应用研究进展,刘茜;韩凯泰;黄梦圆;刘石头;郭前进,磁共振成像,2023-10-20,,,275
163,人工智能能否攻克“鲍莫尔病”,李勇坚,人民论坛,2023-10-15,,,358
164,智能医疗机器人伦理风险：类型、成因与防控策略,赵玲玲;郭遥,医学与哲学,2023-06-20,,1,997
165,美国推动人工智能在生物医学领域应用的政策分析及其对中国的启示,邹丽雪,科技管理研究,2023-08-20,,,408
166,数字孪生在精准医疗应用中的研究进展和挑战,陈玉倩;侯晓慧;朱碧帆;金春林;李芬,海军军医大学学报,2023-01-20,,7,639
167,柔性可穿戴传感与智能识别技术研究进展,晚春雪;吴子悦;黄显,中国科学:化学,2022-10-10 16:23,,7,1744
168,医疗大数据结合大语言模型的应用展望,陈润生,四川大学学报(医学版),2023-09-20,,2,876
169,平行医院:从医院信息管理系统到智慧医院操作系统,王拥军;王飞跃;王戈;王晓;王伊龙,自动化学报,2021-11-15,,29,1008
170,基于专利分析的医院在AI医疗领域产学研合作中的作用研究,石艳丽;马镯;王志远;赵怡,中国医院,2023-08-31,,,284
171,基于人工智能技术的我国某县级医院电子病历质控系统的应用研究,孟依凡;安明扬;王春杰;蔡琼;潘习龙,医学与社会,2023-08-10,,,318
172,从政策推动到研究产出——浅析医院主导人工智能研究的技术性挑战,庄昱;周程,中国科学院院刊,2023-04-20,,2,274
173,数字医疗技术应用中的伦理困境及其实践边界,杨烨阳;苏果云,医学与哲学,2023-07-05,,,289
174,人工智能在医学图像处理中的研究进展与展望,吴毅;张小勤,第三军医大学学报,2021-09-30,,29,3480
175,医学人工智能的特点及在口腔正畸中的规范化开发,谢贤聚;白玉兴,实用口腔医学杂志,2022-11-30,,4,670
176,人工智能应用对养老服务质量的影响——基于杭州、合肥、武汉三地调查的实证分析,何妮;霍聪聪;徐功铖;平昊征;张腾宇,社会保障研究,2021-11-10 08:07,,16,2906
177,人工智能决策可解释性的研究综述,孔祥维;唐鑫泽;王子明,系统工程理论与实践,2020-11-16 15:27,,83,5768
178,人工智能与后疫情时代的数字治理,高望来,当代世界与社会主义,2021-12-20,,13,2777
179,跨学科视野下医疗机器人的进展与挑战,陈小平,生命科学,2022-08-15,,5,1446
180,日本人工智能产业发展和政策研究,张鹏飞,现代日本经济,2021-09-01,,18,1691
181,人工智能赋能下社区智慧养老服务模式及关键技术研究,邢珍珍,护理研究,2021-05-08,,37,4226
182,人工智能在突发公共卫生事件管理中的赋能效用研究——以全球新冠肺炎疫情防控为例,周慎;朱旭峰;薛澜,中国行政管理,2020-10-01,,64,5321
183,中国人工智能伦理研究进展,卢艺;崔中良,科技导报,2022-09-28,,3,1706
184,论数字经济时代健康保险业的应对策略,唐金成;宋威辉;李舒淇,西南金融,2021-01-18 18:32,,38,2441
185,突发公共卫生事件的智能化应对：理论追溯与趋向研判,渠慎宁;杨丹辉,改革,2020-03-24 16:01,,120,6830
186,2022年数字健康发展态势,李丹丹;陈大明;刘樱霞;杨露;李祯祺,生命科学,2023-01-19 16:54,,3,1042
187,基于模型的数字孪生医疗的伦理问题研究,刁宏宇;李思琦;刘玉峰,医学与哲学,2023-07-05,,,144
188,智慧健康医疗管理研究热点分析,余玉刚;王耀刚;江志斌;张润彤;张朋柱,管理科学学报,2021-08-15,,18,3701
189,人工智能在超声诊断中的应用现状及展望,李敬;刘宁宁;王笑一,中国超声医学杂志,2022-05-16,,9,1317
190,人工智能助推经济高质量发展的机理诠释,师博,改革,2020-01-17 15:13,,128,4637
191,基于技术融合视角下的人工智能技术嵌入态势研究,陈悦;王康;宋超;宋凯,科学学研究,2021-08-15,,12,1510
192,人工智能在创伤救治及教学中的应用及研究,张昊东;王港;张贤华;贾婷婷,医学研究与战创伤救治,2023-07-15,,,115
193,人工智能技术在儿童成长中的应用思考——评《人工智能为儿童——面向儿童群体的人工智能应用调研报告》,陈上铨;何家俊,科技管理研究,2023-07-20,,,271
194,基于“互联网+”的跨区域医疗信息共享与服务协同平台设计,魏明月;王淑;王淼;黄智勇;于广军,中国卫生资源,2021-09-20,,22,906
195,医疗前沿技术在尘肺病研究中的应用探索及展望,陈晴;邹雁秋;赵曼羽;王礼群;张勤,现代预防医学,2023-03-10,,,331
196,人工智能应用于心理健康服务的相关问题思考,李瑶;杨琳,医学与哲学,2022-03-05,,7,1602
197,人工智能在神经系统疾病中的应用,丁玲玲;李子孝;王拥军,生命科学,2022-08-15,,2,844
198,新型国家公共卫生信息系统建设：提高系统韧性的思考,王青兰;王喆;曲强,改革,2020-04-13 10:20,,45,3536
199,医疗服务领域创新通用技术应用、立项与价格形成的思考,郑大喜;谢雨晴,中国卫生经济,2022-12-05,,2,247
200,人工智能在远程心电云平台辅助决策基层危急值心电图中的应用价值研究,余新艳;顾志乐;张晓娟;赵晓晔;张海澄,中国全科医学,2022-03-23,,6,501
201,人工智能伦理准则与治理体系:发展现状和战略建议,陈磊;王柏村;黄思翰;张吉豫;郭锐,科技管理研究,2021-03-20,,22,2814
202,基于SWOT分析的中医人工智能现状与发展研究,郭益雯;楚天舒;朱容钰;荆丽梅;何达,世界科学技术-中医药现代化,2022-04-25 15:00,,3,2769
203,人工智能产品与服务体系研究综述,孙效华;张义文;侯璐;周雯洁;张绳宸,包装工程,2020-05-20,,42,2335
204,人工智能治理:从科技中心主义到科技人文协作,曹建峰,上海师范大学学报(哲学社会科学版),2020-09-25,,28,1484
205,人工智能在心血管疾病防治中的应用,刘则烨;潘湘斌,中国胸心血管外科临床杂志,2022-4-14 11:27,,5,1274
206,人工智能正畸诊疗的过去、现在与未来,马艳宁;金作林,实用口腔医学杂志,2022-11-30,,,627
207,未来已来——人工智能的医学应用,葛均波,生命科学,2022-08-15,,5,1490
208,人工智能技术在中医药领域中的应用与思考,田赛男;刘琦;夏帅帅;肖莉;晏峻峰,时珍国医国药,2021-11-10,,10,2019
209,换个角度看人工智能:机遇和挑战,顾基发;赵明辉;张玲玲,中国软科学,2020-02-28,,26,2090
210,韩国人工智能战略的实施路径及发展前景研究,武琼,情报杂志,2021-03-29 13:39,,11,977
211,新一代人工智能和实体经济深度融合促进高质量发展的效应与路径,任保平;宋文月,西北大学学报(哲学社会科学版),2019-05-14 16:53,,147,4315
212,医学教育中人工智能应用的现状、问题与对策,李鸿浩;陈波;李建平;刘伟;任天宇,中国循证医学杂志,2020-09-25,,23,1559
213,人工智能应用下的突发公共卫生事件治理,王会权;刘璐,医学与社会,2021-07-10,,11,1021
214,智能医疗能否取代希波克拉底传统,邹文卿;吕禹含,医学与哲学,2021-09-20,,8,858
215,新冠肺炎疫情期间公众对人工智能的认知与态度——基于新浪微博内容的文本挖掘,黄楠;肖俊;张增一,科普研究,2021-10-29,,5,2316
216,COVID-19疫情背景下的医院人工智能快速布局和发展战略探讨,陈新华;蒋建文;周华;谢海洋;周琳,中国工程科学,2020-04-15,,28,813
217,人工智能立法:主体、内容与特征,黄甫全;曾密成,学术研究,2020-11-20,,15,1736
218,智慧社会建设的实践逻辑与发展图景,陈潭,行政论坛,2019-06-06 16:29,,47,2628
219,人工智能在糖尿病全程健康管理的应用与挑战,蔡淳;贾伟平,中国科学基金,2021-02-25,,12,1313
220,基于卫生技术评估构建医学人工智能技术临床应用评估路径的探讨,赵锐;石秀园;钟雪然;刘春平;任平,中国卫生政策研究,2022-02-25,,3,630
221,人工智能对中医诊断的影响,李本岳;李伟荣;潘华峰;王宏;王奇,世界科学技术-中医药现代化,2020-05-29 11:23,,29,2429
222,老年智慧照护服务体系探究,王晓慧;向运华,学习与实践,2019-05-15,,51,2176
223,针灸与人工智能学科交叉的现状与策略探讨,吴冬;孙汉旭;荣培晶;戴如君;廉海红,针刺研究,2021-04-16 16:52,,7,1922
224,人工智能时代的疫情信息管理:挑战与变革,丁波涛,图书情报知识,2020-05-29 15:55,,13,3472
225,对人工智能现在和未来的思考,张文生,广西科学,2021-08-30 17:13,,5,1237
226,人工智能时代的城市治理,高奇琦;刘洋,上海行政学院学报,2019-03-10,,36,2297
227,法律的再生：人工智能时代的凤凰涅槃,季若望,上海对外经贸大学学报,2020-07-12,,13,1023
228,碎片化知识处理与网络化人工智能,汪建基;马永强;陈仕涛;刘子熠;郑南宁,中国科学:信息科学,2017-02-20,,53,2175
229,人工智能在临床肿瘤领域中应用现状和基础建设问题,宋尔卫;尚桐锐;陈凯,中国实用外科杂志,2021-11-01,,6,663
230,人工智能在急诊护理领域的应用进展,罗松娜;王海苹,护理研究,2022-03-10,,2,2189
231,融合关系发现词与深度学习的诊疗关系抽取,高峰;杨佳欣;顾进广,计算机应用与软件,2021-12-12,,5,236
232,云医疗视野下的中国健康传播探究,张弛,甘肃社会科学,2021-07-25,,3,850
233,机器学习算法在麻醉领域的应用,徐瑾;邓晓明;晏馥霞,中国医学科学院学报,2020-10-30,,9,880
234,智能陪护:老年人心理健康管理的新路径,向运华;王晓慧,甘肃社会科学,2019-07-25,,23,2273
235,日本人工智能战略：机构、路线及生态系统,刘姣姣;黄膺旭;徐晓林,科技管理研究,2020-06-20,,11,723
236,智慧医疗在骨科的应用现状及展望,赵建宁,医学研究生学报,2021-05-15,,7,609
237,基本医疗保险控费模式比较研究,吴海波;刘统银;朱文芝,卫生经济研究,2019-10-08 16:41,,22,983
238,智慧医疗带动传统医疗卫生服务升级的机理探讨：基于价值链嵌入与政企协同视角,傅利平;王玉辉,中国卫生经济,2020-01-05,,22,998
239,数字健康产业有望成为拉动内需的新动力,李韬,人民论坛,2020-12-25,,13,867
240,智能时代的数据伦理与算法伦理——第五届全国赛博伦理学暨数据伦理学研讨会综述,李伦;刘梦迪;胡晓萌;吴天恒,大连理工大学学报(社会科学版),2019-04-01 13:48,,19,2321
241,我国电子健康研究进展,张坤;王文韬;谢阳群,图书馆论坛,2018-04-17 14:17,,22,1341
242,研精覃思，见微知著——人工智能开启精准病理诊断新时代,郭乔楠;吕杨帆,陆军军医大学学报,2022-01-15,,2,396
